hiddens,noise_multiplier,activation,n_d,c_p,FID,model_fp
[64],0.1,Tanh,5,0.01,1.0,runs_latent/ae-enc_64_64_32_1_50.0_1e-06_0.1_0.01_5e-05_0.5_64_5_100000_Tanh_0.0/netG_100000.pt
[64],0.0,Tanh,3,0.01,1.0,runs_latent/ae-enc_64_64_32_1_50.0_1e-06_0.0_0.01_5e-05_0.5_64_3_100000_Tanh_0.0/netG_100000.pt
[96],0.1,Tanh,3,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.1_0.01_5e-05_0.5_64_3_100000_Tanh_0.0/netG_100000.pt
[64],0.1,LeakyReLU,3,0.01,1.0,runs_latent/ae-enc_64_64_32_1_50.0_1e-06_0.1_0.01_5e-05_0.5_64_3_100000_LeakyReLU_0.0/netG_100000.pt
[96],0.1,Tanh,5,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.1_0.01_5e-05_0.5_64_5_100000_Tanh_0.0/netG_100000.pt
[96],0.1,LeakyReLU,5,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.1_0.01_5e-05_0.5_64_5_100000_LeakyReLU_0.0/netG_100000.pt
[96],0.1,LeakyReLU,3,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.1_0.01_5e-05_0.5_64_3_100000_LeakyReLU_0.0/netG_100000.pt
[96],0.0,Tanh,3,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.0_0.01_5e-05_0.5_64_3_100000_Tanh_0.0/netG_100000.pt
[96],0.0,LeakyReLU,3,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.0_0.01_5e-05_0.5_64_3_100000_LeakyReLU_0.0/netG_100000.pt
[64],0.1,Tanh,3,0.01,1.0,runs_latent/ae-enc_64_64_32_1_50.0_1e-06_0.1_0.01_5e-05_0.5_64_3_100000_Tanh_0.0/netG_100000.pt
[96],0.0,Tanh,5,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.0_0.01_5e-05_0.5_64_5_100000_Tanh_0.0/netG_100000.pt
[64],0.0,LeakyReLU,3,0.01,1.0,runs_latent/ae-enc_64_64_32_1_50.0_1e-06_0.0_0.01_5e-05_0.5_64_3_100000_LeakyReLU_0.0/netG_100000.pt
[96],0.0,LeakyReLU,5,0.01,1.0,runs_latent/ae-enc_96_64_32_1_50.0_1e-06_0.0_0.01_5e-05_0.5_64_5_100000_LeakyReLU_0.0/netG_100000.pt
[64],0.0,Tanh,5,0.01,1.0,runs_latent/ae-enc_64_64_32_1_50.0_1e-06_0.0_0.01_5e-05_0.5_64_5_100000_Tanh_0.0/netG_100000.pt
