hidden,noise_multiplier,activation,n_g,c_p,lr,IS,latent_type,model_fp,FID
[64],0.01,LeakyReLU,48000,0.001,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.01_0.5_64_0_48000_LeakyReLU_0.0,350.9009428157833
[64],0.01,Tanh,48000,0.001,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.01_0.5_64_0_48000_Tanh_0.0,354.8432703857499
[64],0.01,LeakyReLU,48000,0.001,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.02_0.5_64_0_48000_LeakyReLU_0.0,358.69221905789465
[64],0.01,Tanh,48000,0.001,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.02_0.5_64_0_48000_Tanh_0.0,338.98785162055276
[64],0.01,LeakyReLU,48000,0.005,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.01_0.5_64_0_48000_LeakyReLU_0.0,242.3139546910706
[64],0.01,Tanh,48000,0.005,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.01_0.5_64_0_48000_Tanh_0.0,298.83392991654875
[64],0.01,LeakyReLU,48000,0.005,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.02_0.5_64_0_48000_LeakyReLU_0.0,242.77030736468106
[64],0.01,Tanh,48000,0.005,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.02_0.5_64_0_48000_Tanh_0.0,277.5257104724626
[64],0.01,LeakyReLU,48000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.01_0.5_64_0_48000_LeakyReLU_0.0,178.1521777003711
[64],0.01,Tanh,48000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.01_0.5_64_0_48000_Tanh_0.0,275.071492526464
[64],0.01,LeakyReLU,48000,0.01,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.02_0.5_64_0_48000_LeakyReLU_0.0,198.2039956255332
[64],0.01,Tanh,48000,0.01,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.02_0.5_64_0_48000_Tanh_0.0,265.2811319344458
[64],0.01,LeakyReLU,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,125.26737305099486
[64],0.01,Tanh,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.01_0.5_64_0_48000_Tanh_0.0,198.15174043641585
[64],0.01,LeakyReLU,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,164.4094921303844
[64],0.01,Tanh,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.02_0.5_64_0_48000_Tanh_0.0,184.90479825008262
[64],0.05,LeakyReLU,48000,0.001,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.01_0.5_64_0_48000_LeakyReLU_0.0,362.0415291374545
[64],0.05,Tanh,48000,0.001,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.01_0.5_64_0_48000_Tanh_0.0,355.5541144437232
[64],0.05,LeakyReLU,48000,0.001,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.02_0.5_64_0_48000_LeakyReLU_0.0,356.7109817970056
[64],0.05,Tanh,48000,0.001,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.02_0.5_64_0_48000_Tanh_0.0,341.6185427718168
[64],0.05,LeakyReLU,48000,0.005,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.01_0.5_64_0_48000_LeakyReLU_0.0,231.2143124337012
[64],0.05,Tanh,48000,0.005,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.01_0.5_64_0_48000_Tanh_0.0,291.1233114049162
[64],0.05,LeakyReLU,48000,0.005,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.02_0.5_64_0_48000_LeakyReLU_0.0,236.23355389231102
[64],0.05,Tanh,48000,0.005,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.02_0.5_64_0_48000_Tanh_0.0,290.5496041659794
[64],0.05,LeakyReLU,50000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_32_0_50000_LeakyReLU_0.0,172.54203072641326
[64],0.05,Tanh,50000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_32_0_50000_Tanh_0.0,239.20222330217769
[64],0.05,LeakyReLU,48000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_64_0_48000_LeakyReLU_0.0,178.6645831153238
[64],0.05,Tanh,48000,0.01,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_64_0_48000_Tanh_0.0,264.1757287530243
[64],0.05,LeakyReLU,48000,0.01,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.02_0.5_64_0_48000_LeakyReLU_0.0,189.59237109250938
[64],0.05,Tanh,48000,0.01,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.02_0.5_64_0_48000_Tanh_0.0,269.1801544341889
[64],0.05,LeakyReLU,50000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_32_0_50000_LeakyReLU_0.0,162.0341847219167
[64],0.05,Tanh,50000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_32_0_50000_Tanh_0.0,182.89432747054047
[64],0.05,LeakyReLU,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,127.5067151754674
[64],0.05,Tanh,48000,0.05,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_64_0_48000_Tanh_0.0,174.72015937496542
[64],0.05,LeakyReLU,48000,0.05,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,166.9019450567279
