model_fp,FID
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,142.63354242343053
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,149.8708758496006
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,135.76755178194685
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,153.3587958762588
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,149.66340138349008
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,152.89561106092
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,152.63603902545714
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,124.56848657273122
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,145.27195056290765
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,139.3580362204998
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,146.16670411947524
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,154.43087650926338
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,154.68966285600163
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,500.5567515216233
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,126.71403270199238
runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,149.88028722563018
