hidden,noise_multiplier,activation,n_g,c_p,lr,IS,latent_type,model_fp
[64],0.3,LeakyReLU,48000,0.5,0.01,2.0154355908649433,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.3,LeakyReLU,48000,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.4,LeakyReLU,48000,0.5,0.01,2.0962136567298493,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.4,LeakyReLU,48000,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.5,LeakyReLU,48000,0.5,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.5,LeakyReLU,48000,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.6,LeakyReLU,48000,0.5,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.6,LeakyReLU,48000,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.3,LeakyReLU,48000,0.25,0.01,1.974043284682318,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.3,LeakyReLU,48000,0.25,0.02,1.904265404394163,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.4,LeakyReLU,48000,0.25,0.01,2.0237485035619738,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.4,LeakyReLU,48000,0.25,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0
