hidden,noise_multiplier,activation,n_g,c_p,lr,IS,latent_type,model_fp,48000
[64],0.3,LeakyReLU,,0.5,0.01,1.953694608633322,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,LeakyReLU,,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.5,0.01,1.9893465390672025,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.5,0.01,1.9808512412420165,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.5,0.01,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.5,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,LeakyReLU,,0.25,0.01,1.9684083537061434,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,LeakyReLU,,0.25,0.02,1.87953841178833,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.25,0.01,1.9872267897596985,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.25,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.25,0.01,2.0222934229709475,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.25,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.25,0.01,1.9883029257732334,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.25,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.25_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,LeakyReLU,,0.1,0.01,1.6747150305805727,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,LeakyReLU,,0.1,0.02,1.9006646643329164,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.1,0.01,2.0411466839320576,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.1,0.02,1.8851698660425458,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.1,0.01,2.0194218503125767,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.1,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.1,0.01,2.0042781634130926,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.1,0.02,,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.1_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,LeakyReLU,,0.05,0.01,1.7085617376216862,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,LeakyReLU,,0.05,0.02,2.002359390120699,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.05,0.01,1.7736061980670181,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.4,LeakyReLU,,0.05,0.02,1.9468413329051155,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.05,0.01,2.0456179820805254,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.5,LeakyReLU,,0.05,0.02,1.9224926871119532,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.05,0.01,2.0904833092338193,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.6,LeakyReLU,,0.05,0.02,1.9011101451172232,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0,24000.0
[64],0.3,Tanh,,0.5,0.01,1.566820823154448,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.3,Tanh,,0.5,0.02,1.5724082060506903,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.3_0.5_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.5,0.01,1.5229710437978166,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.4,Tanh,,0.5,0.02,1.5300576862636275,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.4_0.5_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.5,0.01,1.4960022654492842,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.5,Tanh,,0.5,0.02,1.5104790078205224,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.5_0.5_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.5,0.01,1.4633708760333213,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.01_0.5_64_0_48000_Tanh_0.0,24000.0
[64],0.6,Tanh,,0.5,0.02,1.6631162231068854,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.6_0.5_0.02_0.5_64_0_48000_Tanh_0.0,24000.0
