hidden,noise_multiplier,activation,n_g,c_p,lr,IS,latent_type,model_fp
[64],0.01,LeakyReLU,48000,0.001,0.01,1.0049326789224613,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.001,0.01,1.06487862975172,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.01,LeakyReLU,48000,0.001,0.02,1.0173610322032685,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.001,0.02,1.0923494137988567,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.001_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.01,LeakyReLU,48000,0.005,0.01,1.3353447443459987,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.005,0.01,1.5540278622998789,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.01,LeakyReLU,48000,0.005,0.02,1.3130941300451529,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.005,0.02,1.368504443925789,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.005_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.01,LeakyReLU,48000,0.01,0.01,1.6577803014150863,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.01,0.01,1.8096212576237762,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.01,LeakyReLU,48000,0.01,0.02,1.6073858600989401,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.01,0.02,1.4573016795596767,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.01_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.01,LeakyReLU,48000,0.05,0.01,1.8630781402838428,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.05,0.01,1.8532360757483006,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.01,LeakyReLU,48000,0.05,0.02,1.8958839253970188,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.01,Tanh,48000,0.05,0.02,1.8837673844745038,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.01_0.05_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.001,0.01,1.0045629886173628,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.001,0.01,1.0423948817261481,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.001,0.02,1.0241594401533876,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.001,0.02,1.1197914047485351,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.001_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.005,0.01,1.3609036341080585,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.005,0.01,1.67162624064819,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.005,0.02,1.4571932101303284,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.005,0.02,1.348128869613513,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.005_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,50000,0.01,0.01,1.5420692613953213,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_32_0_50000_LeakyReLU_0.0
[64],0.05,Tanh,50000,0.01,0.01,1.513247048674808,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_32_0_50000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.01,0.01,1.7609846539634384,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.01,0.01,1.7270954940635541,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.01,0.02,1.619657838906008,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.01,0.02,1.640011840362647,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.01_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,50000,0.05,0.01,1.7334573850669597,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_32_0_50000_LeakyReLU_0.0
[64],0.05,Tanh,50000,0.05,0.01,2.101640849914808,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_32_0_50000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.05,0.01,1.814961369733781,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.05,0.01,1.9347116255012058,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.05,LeakyReLU,48000,0.05,0.02,1.728395411218333,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.05,Tanh,48000,0.05,0.02,1.7825713143380946,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.05_0.05_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.001,0.01,1.0083182399269635,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.001,0.01,1.02263954367639,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.001,0.02,1.0355789868409164,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.001,0.02,1.078267582372878,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.001_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.005,0.01,1.4448593426798382,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.005,0.01,1.5750091467189793,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.005,0.02,1.5114022447964321,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.005,0.02,1.609416057095575,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.005_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,50000,0.01,0.01,1.5180185526758863,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_32_0_50000_LeakyReLU_0.0
[64],0.1,Tanh,50000,0.01,0.01,1.4115060789661418,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_32_0_50000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.01,0.01,1.6905680612347989,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.01,0.01,1.677004480899906,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.01,0.02,1.4954707985098215,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.01,0.02,1.7230578648361945,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.01_0.02_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,50000,0.05,0.01,1.663063060570138,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_32_0_50000_LeakyReLU_0.0
[64],0.1,Tanh,50000,0.05,0.01,1.7639237362566258,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_32_0_50000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.05,0.01,1.8495393822795496,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.05,0.01,1.818549529940065,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.01_0.5_64_0_48000_Tanh_0.0
[64],0.1,LeakyReLU,48000,0.05,0.02,1.6568738032053645,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.02_0.5_64_0_48000_LeakyReLU_0.0
[64],0.1,Tanh,48000,0.05,0.02,1.7324877618712837,ae-grad,runs_vae/ae-grad_64_32_32_1_50.0_1e-06_0.1_0.05_0.02_0.5_64_0_48000_Tanh_0.0
